Date,Open,High,Low,Close,Volume
12/01/2025,"278.01","283.42","276.14","283.10","45,497,800"
11/28/2025,"277.26","279.00","275.99","278.85","20,132,200"
11/26/2025,"276.96","279.53","276.63","277.55","33,431,422"
11/25/2025,"275.27","280.38","275.25","276.97","46,914,219"
11/24/2025,"270.90","277.00","270.90","275.92","65,585,797"
11/21/2025,"265.95","273.33","265.67","271.49","59,030,832"
11/20/2025,"270.83","275.43","265.92","266.25","45,823,566"
11/19/2025,"265.53","272.21","265.50","268.56","40,424,488"
11/18/2025,"269.99","270.71","265.32","267.44","45,677,281"
11/17/2025,"268.82","270.49","265.73","267.46","45,018,262"
11/14/2025,"271.05","275.96","269.60","272.41","47,431,328"
11/13/2025,"274.11","276.70","272.09","272.95","49,602,793"
11/12/2025,"275.00","275.73","271.70","273.47","48,397,980"
11/11/2025,"269.81","275.91","269.80","275.25","46,208,320"
11/10/2025,"268.96","273.73","267.46","269.43","41,312,406"
11/07/2025,"269.80","272.29","266.77","268.47","48,227,367"
11/06/2025,"267.89","273.40","267.89","269.77","51,204,047"
11/05/2025,"268.61","271.70","266.93","270.14","43,683,070"
11/04/2025,"268.33","271.49","267.62","270.04","49,274,848"
11/03/2025,"270.42","270.85","266.25","269.05","50,194,578"
10/31/2025,"276.99","277.32","269.16","270.37","86,167,117"
10/30/2025,"271.99","274.14","268.48","271.40","69,886,531"
10/29/2025,"269.28","271.41","267.11","269.70","51,086,738"
10/28/2025,"268.99","269.89","268.15","269.00","41,534,762"
10/27/2025,"264.88","269.12","264.65","268.81","44,888,152"
10/24/2025,"261.19","264.13","259.18","262.82","38,253,719"
10/23/2025,"259.94","260.62","258.01","259.58","32,754,939"
10/22/2025,"262.65","262.85","255.43","258.45","45,015,246"
10/21/2025,"261.88","265.29","261.83","262.77","46,695,953"
10/20/2025,"255.89","264.38","255.63","262.24","90,483,031"
10/17/2025,"248.02","253.38","247.27","252.29","49,146,961"
10/16/2025,"248.25","249.04","245.13","247.45","39,776,969"
10/15/2025,"249.49","251.82","247.47","249.34","33,893,609"
10/14/2025,"246.60","248.85","244.70","247.77","35,477,992"
10/13/2025,"249.38","249.69","245.56","247.66","38,142,941"
10/10/2025,"254.94","256.38","244.00","245.27","61,999,102"
10/09/2025,"257.81","258.00","253.14","254.04","38,322,008"
10/08/2025,"256.52","258.52","256.11","258.06","36,496,898"
10/07/2025,"256.81","257.40","255.43","256.48","31,955,779"
10/06/2025,"257.99","259.07","255.05","256.69","44,664,121"
10/03/2025,"254.67","259.24","253.95","258.02","49,155,609"
10/02/2025,"256.58","258.18","254.15","257.13","42,630,238"
10/01/2025,"255.04","258.79","254.93","255.45","48,713,941"
09/30/2025,"254.86","255.92","253.11","254.63","37,704,262"
09/29/2025,"254.56","255.00","253.01","254.43","40,127,688"
09/26/2025,"254.10","257.60","253.78","255.46","46,076,262"
09/25/2025,"253.21","257.17","251.71","256.87","55,202,078"
09/24/2025,"255.22","255.74","251.04","252.31","42,303,711"
09/23/2025,"255.88","257.34","253.58","254.43","60,275,191"
09/22/2025,"248.30","256.64","248.12","256.08","105,517,398"
09/19/2025,"241.23","246.30","240.21","245.50","163,741,297"
09/18/2025,"239.97","241.20","236.65","237.88","44,249,578"
09/17/2025,"238.97","240.10","237.73","238.99","46,508,020"
09/16/2025,"237.18","241.22","236.32","238.15","63,421,102"
09/15/2025,"237.00","238.19","235.03","236.70","42,699,520"
09/12/2025,"229.22","234.51","229.02","234.07","55,824,219"
09/11/2025,"226.88","230.45","226.65","230.03","50,208,578"
09/10/2025,"232.19","232.42","225.95","226.79","83,440,805"
09/09/2025,"237.00","238.78","233.36","234.35","66,313,922"
09/08/2025,"239.30","240.15","236.34","237.88","48,999,500"
09/05/2025,"240.00","241.32","238.49","239.69","54,870,398"
09/04/2025,"238.45","239.90","236.74","239.78","47,549,434"
09/03/2025,"237.21","238.85","234.36","238.47","66,427,844"
09/02/2025,"229.25","230.85","226.97","229.72","44,075,641"
08/29/2025,"232.51","233.38","231.37","232.14","39,418,441"
08/28/2025,"230.82","233.41","229.34","232.56","38,074,699"
08/27/2025,"228.61","230.90","228.26","230.49","31,259,510"
08/26/2025,"226.87","229.49","224.69","229.31","54,575,113"
08/25/2025,"226.48","229.30","226.23","227.16","30,983,131"
08/22/2025,"226.17","229.09","225.41","227.76","42,477,809"
08/21/2025,"226.27","226.52","223.78","224.90","30,621,250"
08/20/2025,"229.98","230.47","225.77","226.01","42,263,871"
08/19/2025,"231.28","232.87","229.35","230.56","39,402,559"
08/18/2025,"231.70","233.12","230.11","230.89","37,476,191"
08/15/2025,"234.00","234.28","229.34","231.59","56,038,660"
08/14/2025,"234.06","235.12","230.85","232.78","51,916,281"
08/13/2025,"231.07","235.00","230.43","233.33","69,878,555"
08/12/2025,"228.01","230.80","227.07","229.65","55,672,301"
08/11/2025,"227.92","229.56","224.76","227.18","61,806,129"
08/08/2025,"220.83","231.00","219.25","229.35","113,854,000"
08/07/2025,"218.88","220.85","216.58","220.03","90,224,828"
08/06/2025,"205.63","215.38","205.59","213.25","108,483,102"
08/05/2025,"203.40","205.34","202.16","202.92","44,155,078"
08/04/2025,"204.51","207.88","201.68","203.35","75,109,297"
08/01/2025,"210.87","213.58","201.50","202.38","104,434,492"
07/31/2025,"208.49","209.84","207.16","207.57","80,698,430"
07/30/2025,"211.90","212.39","207.72","209.05","45,512,512"
07/29/2025,"214.18","214.81","210.82","211.27","51,411,719"
07/28/2025,"214.03","214.85","213.06","214.05","37,858,020"
07/25/2025,"214.70","215.24","213.40","213.88","40,268,781"
07/24/2025,"213.90","215.69","213.53","213.76","46,022,621"
07/23/2025,"215.00","215.15","212.41","214.15","46,989,301"
07/22/2025,"213.14","214.95","212.23","214.40","46,404,070"
07/21/2025,"212.10","215.78","211.63","212.48","51,377,434"
07/18/2025,"210.87","211.79","209.70","211.18","48,974,594"
07/17/2025,"210.57","211.80","209.59","210.02","48,068,141"
07/16/2025,"210.30","212.40","208.64","210.16","47,490,527"
07/15/2025,"209.22","211.89","208.92","209.11","42,296,340"
