time,AAPL
1764547200000,283.1
1764288000000,278.85
1764115200000,277.55
1764028800000,276.97
1763942400000,275.92
1763683200000,271.49
1763596800000,266.25
1763510400000,268.56
1763424000000,267.44
1763337600000,267.46
1763078400000,272.41
1762992000000,272.95
1762905600000,273.47
1762819200000,275.25
1762732800000,269.43
1762473600000,268.47
1762387200000,269.77
1762300800000,270.14
1762214400000,270.04
1762128000000,269.05
1761868800000,270.37
1761782400000,271.4
1761696000000,269.7
1761609600000,269.0
1761523200000,268.81
1761264000000,262.82
1761177600000,259.58
1761091200000,258.45
1761004800000,262.77
1760918400000,262.24
1760659200000,252.29
1760572800000,247.45
1760486400000,249.34
1760400000000,247.77
1760313600000,247.66
1760054400000,245.27
1759968000000,254.04
1759881600000,258.06
1759795200000,256.48
1759708800000,256.69
1759449600000,258.02
1759363200000,257.13
1759276800000,255.45
1759190400000,254.63
1759104000000,254.43
1758844800000,255.46
1758758400000,256.87
1758672000000,252.31
1758585600000,254.43
1758499200000,256.08
1758240000000,245.5
1758153600000,237.88
1758067200000,238.99
1757980800000,238.15
1757894400000,236.7
1757635200000,234.07
1757548800000,230.03
1757462400000,226.79
1757376000000,234.35
1757289600000,237.88
1757030400000,239.69
1756944000000,239.78
1756857600000,238.47
1756771200000,229.72
1756425600000,232.14
1756339200000,232.56
1756252800000,230.49
1756166400000,229.31
1756080000000,227.16
1755820800000,227.76
1755734400000,224.9
1755648000000,226.01
1755561600000,230.56
1755475200000,230.89
1755216000000,231.59
1755129600000,232.78
1755043200000,233.33
1754956800000,229.65
1754870400000,227.18
1754611200000,229.35
1754524800000,220.03
1754438400000,213.25
1754352000000,202.92
1754265600000,203.35
1754006400000,202.38
1753920000000,207.57
1753833600000,209.05
1753747200000,211.27
1753660800000,214.05
1753401600000,213.88
1753315200000,213.76
1753228800000,214.15
1753142400000,214.4
1753056000000,212.48
1752796800000,211.18
1752710400000,210.02
1752624000000,210.16
1752537600000,209.11
1752451200000,208.62
1752192000000,211.16
1752105600000,212.41
1752019200000,211.14
1751932800000,210.01
1751846400000,209.95
1751500800000,213.55
1751414400000,212.44
1751328000000,207.82
1751241600000,205.17
1750982400000,201.08
1750896000000,201.0
1750809600000,201.56
1750723200000,200.3
1750636800000,201.5
1750377600000,201.0
1750204800000,196.58
1750118400000,195.64
1750032000000,198.42
1749772800000,196.45
1749686400000,199.2
1749600000000,198.78
1749513600000,202.67
1749427200000,201.45
1749168000000,203.92
1749081600000,200.63
1748995200000,202.82
1748908800000,203.27
1748822400000,201.7
1748563200000,200.85
1748476800000,199.95
1748390400000,200.42
1748304000000,200.21
1747958400000,195.27
1747872000000,201.36
1747785600000,202.09
1747699200000,206.86
1747612800000,208.78
1747353600000,211.26
1747267200000,211.45
1747180800000,212.33
1747094400000,212.93
1747008000000,210.79
1746748800000,198.53
1746662400000,197.49
1746576000000,196.25
1746489600000,198.51
1746403200000,198.89
1746144000000,205.35
1746057600000,213.32
1745971200000,212.5
1745884800000,211.21
1745798400000,210.14
1745539200000,209.28
1745452800000,208.37
1745366400000,204.6
1745280000000,199.74
1745193600000,193.16
1744848000000,196.98
1744761600000,194.27
1744675200000,202.14
1744588800000,202.52
1744329600000,198.15
1744243200000,190.42
1744156800000,198.85
1744070400000,172.42
1743984000000,181.46
1743724800000,188.38
1743638400000,203.19
1743552000000,223.89
1743465600000,223.19
1743379200000,222.13
1743120000000,217.9
1743033600000,223.85
1742947200000,221.53
1742860800000,223.75
1742774400000,220.73
1742515200000,218.27
1742428800000,214.1
1742342400000,215.24
1742256000000,212.69
1742169600000,214.0
1741910400000,213.49
1741824000000,209.68
1741737600000,216.98
1741651200000,220.84
1741564800000,227.48
1741305600000,239.07
1741219200000,235.33
1741132800000,235.74
1741046400000,235.93
1740960000000,238.03
1740700800000,241.84
1740614400000,237.3
1740528000000,240.36
1740441600000,247.04
1740355200000,247.1
1740096000000,245.55
1740009600000,245.83
1739923200000,244.87
1739836800000,244.47
1739491200000,244.6
1739404800000,241.53
1739318400000,236.87
1739232000000,232.62
1739145600000,227.65
1738886400000,227.63
1738800000000,233.22
1738713600000,232.47
1738627200000,232.8
1738540800000,228.01
1738281600000,236.0
1738195200000,237.59
1738108800000,239.36
1738022400000,238.26
1737936000000,229.86
1737676800000,222.78
1737590400000,223.66
1737504000000,223.83
1737417600000,222.64
1737072000000,229.98
1736985600000,228.26
1736899200000,237.87
1736812800000,233.28
1736726400000,234.4
1736467200000,236.85
1736294400000,242.7
1736208000000,242.21
1736121600000,245.0
1735862400000,243.36
1735776000000,243.85
1735603200000,250.42
1735516800000,252.2
1735257600000,255.59
1735171200000,259.02
1734998400000,258.2
1734912000000,255.27
1734652800000,254.49
1734566400000,249.79
