Date,Open,High,Low,Close,Volume
12/01/2025,"488.44","489.86","484.65","486.74","22,647,500"
11/28/2025,"487.60","492.63","486.65","492.01","14,382,900"
11/26/2025,"486.31","488.31","481.20","485.50","25,709,080"
11/25/2025,"474.07","479.15","464.89","476.99","28,019,789"
11/24/2025,"475.00","476.90","468.02","474.00","34,421,047"
11/21/2025,"478.50","478.92","468.27","472.12","31,769,250"
11/20/2025,"492.71","493.57","475.50","478.43","26,802,539"
11/19/2025,"490.10","495.19","482.83","487.12","23,245,311"
11/18/2025,"495.37","502.98","486.78","493.79","33,815,113"
11/17/2025,"508.45","512.12","504.91","507.49","19,092,750"
11/14/2025,"498.23","511.60","497.44","510.18","28,505,750"
11/13/2025,"510.31","513.50","501.29","503.29","25,273,109"
11/12/2025,"509.36","511.67","499.12","511.14","26,574,850"
11/11/2025,"504.80","509.60","502.35","508.68","17,980,020"
11/10/2025,"500.04","506.85","498.80","506.00","26,101,480"
11/07/2025,"496.95","499.38","493.25","496.82","24,019,760"
11/06/2025,"505.66","505.70","495.81","497.10","27,406,500"
11/05/2025,"513.30","514.83","506.58","507.16","23,024,340"
11/04/2025,"511.76","515.55","507.84","514.33","20,958,660"
11/03/2025,"519.81","524.96","514.59","517.03","22,374,740"
10/31/2025,"528.88","529.32","515.10","517.81","34,006,422"
10/30/2025,"530.48","534.97","522.12","525.76","41,023,090"
10/29/2025,"544.94","546.27","536.73","541.55","36,023,000"
10/28/2025,"550.00","553.72","540.77","542.07","29,986,680"
10/27/2025,"531.78","534.58","529.01","531.52","18,734,721"
10/24/2025,"522.79","525.35","520.71","523.61","15,532,360"
10/23/2025,"522.46","523.95","518.61","520.56","14,023,530"
10/22/2025,"521.15","525.23","517.71","520.54","18,962,689"
10/21/2025,"517.50","518.69","513.04","517.66","15,586,200"
10/20/2025,"514.61","518.70","513.43","516.79","14,665,620"
10/17/2025,"509.04","515.48","507.31","513.58","19,867,770"
10/16/2025,"512.58","516.85","508.13","511.61","15,559,570"
10/15/2025,"514.96","517.19","510.00","513.43","14,694,650"
10/14/2025,"510.23","515.28","506.00","513.57","14,684,300"
10/13/2025,"516.41","516.41","511.68","514.05","14,284,240"
10/10/2025,"519.64","523.58","509.63","510.96","24,133,840"
10/09/2025,"522.34","524.33","517.40","522.40","18,343,600"
10/08/2025,"523.28","526.95","523.09","524.85","13,363,450"
10/07/2025,"528.29","529.80","521.44","523.98","14,615,210"
10/06/2025,"518.61","531.03","518.20","528.57","21,388,580"
10/03/2025,"517.10","520.49","515.00","517.35","15,112,320"
10/02/2025,"517.64","521.60","510.68","515.74","21,222,891"
10/01/2025,"514.80","520.51","511.69","519.71","22,632,340"
09/30/2025,"513.24","518.16","509.66","517.95","19,728,230"
09/29/2025,"511.50","516.85","508.88","514.60","17,617,779"
09/26/2025,"510.06","513.94","506.62","511.46","16,213,130"
09/25/2025,"508.30","510.01","505.04","507.03","15,786,470"
09/24/2025,"510.38","512.48","506.92","510.15","13,533,710"
09/23/2025,"513.80","514.59","507.31","509.23","19,799,580"
09/22/2025,"515.59","517.74","512.55","514.45","20,009,311"
09/19/2025,"510.56","519.30","510.31","517.93","52,474,090"
09/18/2025,"511.49","513.07","507.66","508.45","18,913,699"
09/17/2025,"510.62","511.29","505.93","510.02","15,816,590"
09/16/2025,"516.88","517.23","508.60","509.04","19,711,920"
09/15/2025,"508.79","515.47","507.00","515.36","17,143,789"
09/12/2025,"506.65","512.55","503.85","509.90","23,624,881"
09/11/2025,"502.25","503.17","497.88","501.01","18,881,609"
09/10/2025,"502.98","503.23","496.72","500.37","21,611,820"
09/09/2025,"501.43","502.25","497.70","498.41","14,410,540"
09/08/2025,"498.11","501.20","495.03","498.20","16,771,020"
09/05/2025,"509.07","511.97","492.37","495.00","31,994,850"
09/04/2025,"504.30","508.15","503.15","507.97","15,509,490"
09/03/2025,"503.79","507.79","502.32","505.35","16,345,080"
09/02/2025,"500.47","506.00","496.81","505.12","18,128,000"
08/29/2025,"508.66","509.60","504.49","506.69","20,961,570"
08/28/2025,"507.09","511.09","505.50","509.64","18,015,590"
08/27/2025,"502.00","507.29","499.90","506.74","17,277,891"
08/26/2025,"504.36","504.98","498.51","502.04","30,835,711"
08/25/2025,"506.63","508.19","504.12","504.26","21,638,580"
08/22/2025,"504.25","510.73","502.41","507.23","24,324,160"
08/21/2025,"503.69","507.63","502.72","504.24","18,443,250"
08/20/2025,"509.87","511.00","504.44","505.72","27,723,029"
08/19/2025,"515.00","515.16","508.55","509.77","21,481,020"
08/18/2025,"521.59","522.82","514.02","517.10","23,760,580"
08/15/2025,"522.77","526.10","519.08","520.17","25,213,270"
08/14/2025,"522.56","525.95","520.14","522.48","20,269,070"
08/13/2025,"532.11","532.70","519.37","520.58","19,619,160"
08/12/2025,"523.75","530.98","522.70","529.24","18,688,920"
08/11/2025,"522.30","527.59","519.72","521.77","20,194,369"
08/08/2025,"522.60","524.66","519.41","522.04","15,531,010"
08/07/2025,"526.80","528.09","517.55","520.84","16,079,140"
08/06/2025,"530.90","531.70","524.03","524.94","21,355,699"
08/05/2025,"537.18","537.30","527.24","527.75","19,171,570"
08/04/2025,"528.27","538.25","528.13","535.64","25,349,000"
08/01/2025,"535.00","535.80","520.86","524.11","28,977,631"
07/31/2025,"555.23","555.45","531.90","533.50","51,617,328"
07/30/2025,"515.17","515.95","509.44","513.24","26,380,430"
07/29/2025,"515.53","517.62","511.56","512.57","16,469,240"
07/28/2025,"514.08","515.00","510.12","512.50","14,308,030"
07/25/2025,"512.47","518.29","510.36","513.71","19,125,699"
07/24/2025,"508.77","513.67","507.30","510.88","16,107,000"
07/23/2025,"506.75","506.79","500.70","505.87","16,396,590"
07/22/2025,"510.97","511.20","505.27","505.27","13,868,640"
07/21/2025,"506.71","512.09","505.55","510.06","14,066,810"
07/18/2025,"514.48","514.64","507.43","510.05","21,209,670"
07/17/2025,"505.68","513.37","505.62","511.70","17,503,131"
07/16/2025,"505.18","506.72","501.89","505.62","15,154,370"
07/15/2025,"503.02","508.30","502.79","505.82","14,927,200"
07/14/2025,"501.52","503.97","501.03","503.02","12,058,850"
