time,MSFT
1764547200000,486.74
1764288000000,492.01
1764115200000,485.5
1764028800000,476.99
1763942400000,474.0
1763683200000,472.12
1763596800000,478.43
1763510400000,487.12
1763424000000,493.79
1763337600000,507.49
1763078400000,510.18
1762992000000,503.29
1762905600000,511.14
1762819200000,508.68
1762732800000,506.0
1762473600000,496.82
1762387200000,497.1
1762300800000,507.16
1762214400000,514.33
1762128000000,517.03
1761868800000,517.81
1761782400000,525.76
1761696000000,541.55
1761609600000,542.07
1761523200000,531.52
1761264000000,523.61
1761177600000,520.56
1761091200000,520.54
1761004800000,517.66
1760918400000,516.79
1760659200000,513.58
1760572800000,511.61
1760486400000,513.43
1760400000000,513.57
1760313600000,514.05
1760054400000,510.96
1759968000000,522.4
1759881600000,524.85
1759795200000,523.98
1759708800000,528.57
1759449600000,517.35
1759363200000,515.74
1759276800000,519.71
1759190400000,517.95
1759104000000,514.6
1758844800000,511.46
1758758400000,507.03
1758672000000,510.15
1758585600000,509.23
1758499200000,514.45
1758240000000,517.93
1758153600000,508.45
1758067200000,510.02
1757980800000,509.04
1757894400000,515.36
1757635200000,509.9
1757548800000,501.01
1757462400000,500.37
1757376000000,498.41
1757289600000,498.2
1757030400000,495.0
1756944000000,507.97
1756857600000,505.35
1756771200000,505.12
1756425600000,506.69
1756339200000,509.64
1756252800000,506.74
1756166400000,502.04
1756080000000,504.26
1755820800000,507.23
1755734400000,504.24
1755648000000,505.72
1755561600000,509.77
1755475200000,517.1
1755216000000,520.17
1755129600000,522.48
1755043200000,520.58
1754956800000,529.24
1754870400000,521.77
1754611200000,522.04
1754524800000,520.84
1754438400000,524.94
1754352000000,527.75
1754265600000,535.64
1754006400000,524.11
1753920000000,533.5
1753833600000,513.24
1753747200000,512.57
1753660800000,512.5
1753401600000,513.71
1753315200000,510.88
1753228800000,505.87
1753142400000,505.27
1753056000000,510.06
1752796800000,510.05
1752710400000,511.7
1752624000000,505.62
1752537600000,505.82
1752451200000,503.02
1752192000000,503.32
1752105600000,501.48
1752019200000,503.51
1751932800000,496.62
1751846400000,497.72
1751500800000,498.84
1751414400000,491.09
1751328000000,492.05
1751241600000,497.41
1750982400000,495.94
1750896000000,497.45
1750809600000,492.27
1750723200000,490.11
1750636800000,486.0
1750377600000,477.4
1750204800000,480.24
1750118400000,478.04
1750032000000,479.14
1749772800000,474.96
1749686400000,478.87
1749600000000,472.62
1749513600000,470.92
1749427200000,472.75
1749168000000,470.38
1749081600000,467.68
1748995200000,463.87
1748908800000,462.97
1748822400000,461.97
1748563200000,460.36
1748476800000,458.68
1748390400000,457.36
1748304000000,460.69
1747958400000,450.18
1747872000000,454.86
1747785600000,452.57
1747699200000,458.17
1747612800000,458.87
1747353600000,454.27
1747267200000,453.13
1747180800000,452.94
1747094400000,449.14
1747008000000,449.26
1746748800000,438.73
1746662400000,438.17
1746576000000,433.35
1746489600000,433.31
1746403200000,436.17
1746144000000,435.28
1746057600000,425.4
1745971200000,395.26
1745884800000,394.04
1745798400000,391.16
1745539200000,391.85
1745452800000,387.3
1745366400000,374.39
1745280000000,366.82
1745193600000,359.12
1744848000000,367.78
1744761600000,371.61
1744675200000,385.73
1744588800000,387.81
1744329600000,388.45
1744243200000,381.35
1744156800000,390.49
1744070400000,354.56
1743984000000,357.86
1743724800000,359.84
1743638400000,373.11
1743552000000,382.14
1743465600000,382.19
1743379200000,375.39
1743120000000,378.8
1743033600000,390.58
1742947200000,389.97
1742860800000,395.16
1742774400000,393.08
1742515200000,391.26
1742428800000,386.84
1742342400000,387.82
1742256000000,383.52
1742169600000,388.7
1741910400000,388.56
1741824000000,378.77
1741737600000,383.27
1741651200000,380.45
1741564800000,380.16
1741305600000,393.31
1741219200000,396.89
1741132800000,401.02
1741046400000,388.61
1740960000000,388.49
1740700800000,396.99
1740614400000,392.53
1740528000000,399.73
1740441600000,397.9
1740355200000,404.0
1740096000000,408.21
1740009600000,416.13
1739923200000,414.77
1739836800000,409.64
1739491200000,408.43
1739404800000,410.54
1739318400000,409.04
1739232000000,411.44
1739145600000,412.22
1738886400000,409.75
1738800000000,415.82
1738713600000,413.29
1738627200000,412.37
1738540800000,410.92
1738281600000,415.06
1738195200000,414.99
1738108800000,442.33
1738022400000,447.2
1737936000000,434.56
1737676800000,444.06
1737590400000,446.71
1737504000000,446.2
1737417600000,428.5
1737072000000,429.03
1736985600000,424.58
1736899200000,426.31
1736812800000,415.67
1736726400000,417.19
1736467200000,418.95
1736294400000,424.56
1736208000000,422.37
1736121600000,427.85
1735862400000,423.35
1735776000000,418.58
1735603200000,421.5
1735516800000,424.83
1735257600000,430.53
1735171200000,438.11
1734998400000,439.33
1734912000000,435.25
1734652800000,436.6
1734566400000,437.03
1734480000000,437.39
1734393600000,454.46
1734307200000,451.59
1734048000000,447.27
1733961600000,449.56
1733875200000,448.99
1733788800000,443.33
1733702400000,446.02
1733443200000,443.57
1733356800000,442.62
1733270400000,437.42
1733184000000,431.2
1733097600000,430.98
1732838400000,423.46
1732665600000,422.99
1732579200000,427.99
1732492800000,418.79
1732233600000,417.0
1732147200000,412.87
1732060800000,415.49
1731974400000,417.79
1731888000000,415.76
1731628800000,415.0
1731542400000,426.89
1731456000000,425.2
1731369600000,423.03
1731283200000,418.01
1731024000000,422.54
1730937600000,425.43
1730851200000,420.18
1730764800000,411.46
1730678400000,408.46
1730419200000,410.37
1730332800000,406.35
1730246400000,432.53
1730160000000,431.95
1730073600000,426.59
1729814400000,428.15
1729728000000,424.73
1729641600000,424.6
1729555200000,427.51
1729468800000,418.78
1729209600000,418.16
1729123200000,416.72
1729036800000,416.12
1728950400000,418.74
1728864000000,419.14
1728604800000,416.32
1728518400000,415.84
1728432000000,417.46
1728345600000,414.71
1728259200000,409.54
1728000000000,416.06
1727913600000,416.54
1727827200000,417.13
1727740800000,420.69
1727654400000,430.3
1727395200000,428.02
1727308800000,431.31
1727222400000,432.11
1727136000000,429.17
1727049600000,433.51
1726790400000,435.27
1726704000000,438.69
1726617600000,430.81
1726531200000,435.15
1726444800000,431.34
1726185600000,430.59
1726099200000,427.0
1726012800000,423.04
1725926400000,414.2
1725840000000,405.72
1725580800000,401.7
1725494400000,408.39
1725408000000,408.9
1725321600000,409.44
1724976000000,417.14
1724889600000,413.12
1724803200000,410.6
1724716800000,413.84
1724630400000,413.49
1724371200000,416.79
1724284800000,415.55
1724198400000,424.14
1724112000000,424.8
1724025600000,421.53
1723766400000,418.47
1723680000000,421.03
1723593600000,416.86
1723507200000,414.01
1723420800000,406.81
1723161600000,406.02
1723075200000,402.69
1722988800000,398.43
1722902400000,399.61
1722816000000,395.15
1722556800000,408.49
1722470400000,417.11
1722384000000,418.35
1722297600000,422.92
1722211200000,426.73
1721952000000,425.27
1721865600000,418.4
1721779200000,428.9
1721692800000,444.85
1721606400000,442.94
1721347200000,437.11
1721260800000,440.37
1721174400000,443.52
1721088000000,449.52
1721001600000,453.96
1720742400000,453.55
1720656000000,454.7
